[2022-10-25 09:46:27] - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[2022-10-25 09:46:27] - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[2022-10-25 09:46:27] - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[2022-10-25 09:46:27] - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2022-10-25 09:46:27] - Adding type registration boolean -> org.hibernate.type.BooleanType@52831a73
[2022-10-25 09:46:27] - Adding type registration boolean -> org.hibernate.type.BooleanType@52831a73
[2022-10-25 09:46:27] - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@52831a73
[2022-10-25 09:46:27] - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@6f1c3f18
[2022-10-25 09:46:27] - Adding type registration true_false -> org.hibernate.type.TrueFalseType@54af3cb9
[2022-10-25 09:46:27] - Adding type registration yes_no -> org.hibernate.type.YesNoType@48581a3b
[2022-10-25 09:46:27] - Adding type registration byte -> org.hibernate.type.ByteType@1f71194d
[2022-10-25 09:46:27] - Adding type registration byte -> org.hibernate.type.ByteType@1f71194d
[2022-10-25 09:46:27] - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@1f71194d
[2022-10-25 09:46:27] - Adding type registration character -> org.hibernate.type.CharacterType@6c17c0f8
[2022-10-25 09:46:27] - Adding type registration char -> org.hibernate.type.CharacterType@6c17c0f8
[2022-10-25 09:46:27] - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@6c17c0f8
[2022-10-25 09:46:27] - Adding type registration short -> org.hibernate.type.ShortType@1578b8ec
[2022-10-25 09:46:27] - Adding type registration short -> org.hibernate.type.ShortType@1578b8ec
[2022-10-25 09:46:27] - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@1578b8ec
[2022-10-25 09:46:27] - Adding type registration integer -> org.hibernate.type.IntegerType@364b1061
[2022-10-25 09:46:27] - Adding type registration int -> org.hibernate.type.IntegerType@364b1061
[2022-10-25 09:46:27] - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@364b1061
[2022-10-25 09:46:27] - Adding type registration long -> org.hibernate.type.LongType@a54acec
[2022-10-25 09:46:27] - Adding type registration long -> org.hibernate.type.LongType@a54acec
[2022-10-25 09:46:27] - Adding type registration java.lang.Long -> org.hibernate.type.LongType@a54acec
[2022-10-25 09:46:27] - Adding type registration float -> org.hibernate.type.FloatType@5f9f3e58
[2022-10-25 09:46:27] - Adding type registration float -> org.hibernate.type.FloatType@5f9f3e58
[2022-10-25 09:46:27] - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@5f9f3e58
[2022-10-25 09:46:27] - Adding type registration double -> org.hibernate.type.DoubleType@e5c2463
[2022-10-25 09:46:27] - Adding type registration double -> org.hibernate.type.DoubleType@e5c2463
[2022-10-25 09:46:27] - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@e5c2463
[2022-10-25 09:46:27] - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@61e86192
[2022-10-25 09:46:27] - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@61e86192
[2022-10-25 09:46:27] - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@385d819
[2022-10-25 09:46:27] - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@385d819
[2022-10-25 09:46:27] - Adding type registration string -> org.hibernate.type.StringType@236ae13d
[2022-10-25 09:46:27] - Adding type registration java.lang.String -> org.hibernate.type.StringType@236ae13d
[2022-10-25 09:46:27] - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@32256e68
[2022-10-25 09:46:27] - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@7af0affa
